TILENAME,PATH,RA_CENT,DEC_CENT
DES1054+1626,DEC_Taiga/multiepoch/delve/r6101/DES1054+1626/p01/coadd,163.59766100,16.43607400
DES0856-1832,DEC_Taiga/multiepoch/delve/r6101/DES0856-1832/p01/coadd,134.11896600,-18.54448100
DES1042-0416,DEC_Taiga/multiepoch/delve/r6101/DES1042-0416/p01/coadd,160.54443100,-4.26670400
DES0721+1334,DEC_Taiga/multiepoch/delve/r6101/DES0721+1334/p01/coadd,110.35650400,13.58051900
DES1137-2249,DEC_Taiga/multiepoch/delve/r6101/DES1137-2249/p01/coadd,174.47624800,-22.82781500
DES0839+0917,DEC_Taiga/multiepoch/delve/r6101/DES0839+0917/p01/coadd,129.84736800,9.29718500
DES0949-1041,DEC_Taiga/multiepoch/delve/r6101/DES0949-1041/p01/coadd,147.48038900,-10.69170400
DES0946+2251,DEC_Taiga/multiepoch/delve/r6101/DES0946+2251/p01/coadd,146.64900400,22.86107400
DES1036+0126,DEC_Taiga/multiepoch/delve/r6101/DES1036+0126/p01/coadd,159.22764400,1.44440700
DES1040+2208,DEC_Taiga/multiepoch/delve/r6101/DES1040+2208/p01/coadd,160.10066100,22.14718500
DES1032-1250,DEC_Taiga/multiepoch/delve/r6101/DES1032-1250/p01/coadd,158.08329600,-12.83337000
DES1135-0707,DEC_Taiga/multiepoch/delve/r6101/DES1135-0707/p02/coadd,173.99848900,-7.12225900
DES0708+2251,DEC_Taiga/multiepoch/delve/r6101/DES0708+2251/p01/coadd,107.13697400,22.86107400
DES0904-1207,DEC_Taiga/multiepoch/delve/r6101/DES0904-1207/p01/coadd,136.23934300,-12.11948100
DES0939-1332,DEC_Taiga/multiepoch/delve/r6101/DES0939-1332/p01/coadd,144.84211300,-13.54725900
DES0952+1043,DEC_Taiga/multiepoch/delve/r6101/DES0952+1043/p01/coadd,148.23254800,10.72496300
DES0910-1207,DEC_Taiga/multiepoch/delve/r6101/DES0910-1207/p01/coadd,137.69966800,-12.11948100
DES1105-0750,DEC_Taiga/multiepoch/delve/r6101/DES1105-0750/p01/coadd,166.49569900,-7.83614800
