TILENAME,PATH,RA_CENT,DEC_CENT
DES1207+2126,DEC_Taiga/multiepoch/delve/r6050/DES1207+2126/p01/coadd,181.89062300,21.43329600
DES1345-0207,DEC_Taiga/multiepoch/delve/r6050/DES1345-0207/p01/coadd,206.46714300,-2.12503700
DES1240-2206,DEC_Taiga/multiepoch/delve/r6050/DES1240-2206/p01/coadd,190.09507700,-22.11392600
DES1056-3623,DEC_Taiga/multiepoch/delve/r6050/DES1056-3623/p02/coadd,164.20220300,-36.39170400
DES1319+1043,DEC_Taiga/multiepoch/delve/r6050/DES1319+1043/p01/coadd,199.81980100,10.72496300
DES1327+2043,DEC_Taiga/multiepoch/delve/r6050/DES1327+2043/p01/coadd,201.98317700,20.71940700
DES1410-3123,DEC_Taiga/multiepoch/delve/r6050/DES1410-3123/p01/coadd,212.73206500,-31.39448100
DES1329-2458,DEC_Taiga/multiepoch/delve/r6050/DES1329-2458/p01/coadd,202.43517300,-24.96948100
DES1527+1000,DEC_Taiga/multiepoch/delve/r6050/DES1527+1000/p01/coadd,231.79295100,10.01107400
DES1529-2958,DEC_Taiga/multiepoch/delve/r6050/DES1529-2958/p01/coadd,232.25976700,-29.96670400
DES0907-2749,DEC_Taiga/multiepoch/delve/r6050/DES0907-2749/p01/coadd,136.98609200,-27.82503700
DES1226-1332,DEC_Taiga/multiepoch/delve/r6050/DES1226-1332/p01/coadd,186.69833700,-13.54725900
DES1012-3040,DEC_Taiga/multiepoch/delve/r6050/DES1012-3040/p01/coadd,153.23264600,-30.68059300
DES1453-2915,DEC_Taiga/multiepoch/delve/r6050/DES1453-2915/p01/coadd,223.47528600,-29.25281500
DES1414-0915,DEC_Taiga/multiepoch/delve/r6050/DES1414-0915/p01/coadd,213.73240300,-9.26392600
DES1249+2208,DEC_Taiga/multiepoch/delve/r6050/DES1249+2208/p01/coadd,192.47244200,22.14718500
DES1502-0416,DEC_Taiga/multiepoch/delve/r6050/DES1502-0416/p01/coadd,225.68886200,-4.26670400
DES1310-3332,DEC_Taiga/multiepoch/delve/r6050/DES1310-3332/p01/coadd,197.63070000,-33.53614800
DES1451-3123,DEC_Taiga/multiepoch/delve/r6050/DES1451-3123/p01/coadd,222.76797600,-31.39448100
DES1431-4914,DEC_Taiga/multiepoch/delve/r6050/DES1431-4914/p01/coadd,217.88921300,-49.24170400
DES0916-3123,DEC_Taiga/multiepoch/delve/r6050/DES0916-3123/p02/coadd,139.13538500,-31.39448100
DES1458+0252,DEC_Taiga/multiepoch/delve/r6050/DES1458+0252/p01/coadd,224.50273300,2.87218500
DES1712+1126,DEC_Taiga/multiepoch/delve/r6050/DES1712+1126/p01/coadd,258.05589400,11.43885200
DES1233+2917,DEC_Taiga/multiepoch/delve/r6050/DES1233+2917/p01/coadd,188.38023400,29.28607400
DES1142-3040,DEC_Taiga/multiepoch/delve/r6050/DES1142-3040/p01/coadd,175.64477300,-30.68059300
DES1030-2458,DEC_Taiga/multiepoch/delve/r6050/DES1030-2458/p02/coadd,157.54804300,-24.96948100
DES1056-4414,DEC_Taiga/multiepoch/delve/r6050/DES1056-4414/p01/coadd,164.13432800,-44.24448100
DES1455+1209,DEC_Taiga/multiepoch/delve/r6050/DES1455+1209/p01/coadd,223.89751200,12.15274100
DES1320-2415,DEC_Taiga/multiepoch/delve/r6050/DES1320-2415/p01/coadd,200.01619000,-24.25559300
DES1616+0126,DEC_Taiga/multiepoch/delve/r6050/DES1616+0126/p01/coadd,244.20742500,1.44440700
DES1457-3540,DEC_Taiga/multiepoch/delve/r6050/DES1457-3540/p01/coadd,224.35109700,-35.67781500
DES1217+2543,DEC_Taiga/multiepoch/delve/r6050/DES1217+2543/p01/coadd,184.40677500,25.71663000
DES1145-3457,DEC_Taiga/multiepoch/delve/r6050/DES1145-3457/p01/coadd,176.33399200,-34.96392600
DES1100-3457,DEC_Taiga/multiepoch/delve/r6050/DES1100-3457/p01/coadd,165.00952100,-34.96392600
DES1158+2500,DEC_Taiga/multiepoch/delve/r6050/DES1158+2500/p01/coadd,179.66960700,25.00274100
DES1527-3123,DEC_Taiga/multiepoch/delve/r6050/DES1527-3123/p01/coadd,231.96756100,-31.39448100
DES1505-4249,DEC_Taiga/multiepoch/delve/r6050/DES1505-4249/p01/coadd,226.43075100,-42.81670400
DES1300-0624,DEC_Taiga/multiepoch/delve/r6050/DES1300-0624/p01/coadd,195.16727400,-6.40837000
DES1452-0250,DEC_Taiga/multiepoch/delve/r6050/DES1452-0250/p03/coadd,223.06422000,-2.83892600
DES1337-3123,DEC_Taiga/multiepoch/delve/r6117/DES1337-3123/p01/coadd,204.36880600,-31.39448100
DES1314-1624,DEC_Taiga/multiepoch/delve/r6050/DES1314-1624/p01/coadd,198.53134800,-16.40281500
DES1648+0126,DEC_Taiga/multiepoch/delve/r6050/DES1648+0126/p01/coadd,252.06269900,1.44440700
DES1622+2126,DEC_Taiga/multiepoch/delve/r6050/DES1622+2126/p01/coadd,245.54556100,21.43329600
