TILENAME,PATH,RA_CENT,DEC_CENT
DES1542+0752,DEC_Taiga/multiepoch/delve/r6117/DES1542+0752/p01/coadd,235.70075300,7.86940700
DES1236-0707,DEC_Taiga/multiepoch/delve/r6117/DES1236-0707/p01/coadd,189.10673200,-7.12225900
DES1052-4331,DEC_Taiga/multiepoch/delve/r6117/DES1052-4331/p03/coadd,163.13552600,-43.53059300
DES1241-2832,DEC_Taiga/multiepoch/delve/r6117/DES1241-2832/p01/coadd,190.48126000,-28.53892600
DES1310-1332,DEC_Taiga/multiepoch/delve/r6117/DES1310-1332/p01/coadd,197.71313300,-13.54725900
DES1731-0915,DEC_Taiga/multiepoch/delve/r6117/DES1731-0915/p01/coadd,262.91836200,-9.26392600
DES1457-1832,DEC_Taiga/multiepoch/delve/r6117/DES1457-1832/p02/coadd,224.47728600,-18.54448100
DES1216+0043,DEC_Taiga/multiepoch/delve/r6117/DES1216+0043/p01/coadd,184.15802700,0.73051900
DES1221-0333,DEC_Taiga/multiepoch/delve/r6117/DES1221-0333/p01/coadd,185.36964900,-3.55281500
DES0947-2623,DEC_Taiga/multiepoch/delve/r6117/DES0947-2623/p01/coadd,146.92360900,-26.39725900
DES1647-2249,DEC_Taiga/multiepoch/delve/r6117/DES1647-2249/p01/coadd,251.93183200,-22.82781500
DES1429+0500,DEC_Taiga/multiepoch/delve/r6117/DES1429+0500/p01/coadd,217.41833900,5.01385200
DES1239+0543,DEC_Taiga/multiepoch/delve/r6117/DES1239+0543/p02/coadd,189.79143200,5.72774100
DES1259+2917,DEC_Taiga/multiepoch/delve/r6117/DES1259+2917/p01/coadd,194.92826200,29.28607400
DES1429-0250,DEC_Taiga/multiepoch/delve/r6117/DES1429-0250/p01/coadd,217.34609100,-2.83892600
DES1605+0418,DEC_Taiga/multiepoch/delve/r6117/DES1605+0418/p01/coadd,241.45229000,4.29996300
DES1215-1332,DEC_Taiga/multiepoch/delve/r6117/DES1215-1332/p01/coadd,183.76105900,-13.54725900
DES1313-2332,DEC_Taiga/multiepoch/delve/r6117/DES1313-2332/p01/coadd,198.44692100,-23.54170400
DES1405-0416,DEC_Taiga/multiepoch/delve/r6117/DES1405-0416/p01/coadd,211.37140500,-4.26670400
DES1308+1751,DEC_Taiga/multiepoch/delve/r6117/DES1308+1751/p01/coadd,197.01897700,17.86385200
DES1444-3914,DEC_Taiga/multiepoch/delve/r6117/DES1444-3914/p02/coadd,221.04856800,-39.24725900
DES1538-3415,DEC_Taiga/multiepoch/delve/r6117/DES1538-3415/p01/coadd,234.55262600,-34.25003700
DES1705+0126,DEC_Taiga/multiepoch/delve/r6117/DES1705+0126/p01/coadd,256.34739300,1.44440700
DES1256+2708,DEC_Taiga/multiepoch/delve/r6117/DES1256+2708/p01/coadd,194.18279500,27.14440700
DES1309+0500,DEC_Taiga/multiepoch/delve/r6117/DES1309+0500/p01/coadd,197.35267000,5.01385200
DES1300-1458,DEC_Taiga/multiepoch/delve/r6117/DES1300-1458/p01/coadd,195.07566900,-14.97503700
DES1559-1707,DEC_Taiga/multiepoch/delve/r6117/DES1559-1707/p01/coadd,239.93385500,-17.11670400
DES1337-3123,DEC_Taiga/multiepoch/delve/r6117/DES1337-3123/p01/coadd,204.36880600,-31.39448100
DES1553+0835,DEC_Taiga/multiepoch/delve/r6117/DES1553+0835/p01/coadd,238.44489400,8.58329600
DES1526+0252,DEC_Taiga/multiepoch/delve/r6117/DES1526+0252/p05/coadd,231.65060100,2.87218500
DES1419-0124,DEC_Taiga/multiepoch/delve/r6117/DES1419-0124/p01/coadd,214.92432700,-1.41114800
DES1207+1543,DEC_Taiga/multiepoch/delve/r6117/DES1207+1543/p01/coadd,181.98896900,15.72218500
DES1551+0209,DEC_Taiga/multiepoch/delve/r6117/DES1551+0209/p01/coadd,237.90689500,2.15829600
DES1629-2458,DEC_Taiga/multiepoch/delve/r6117/DES1629-2458/p01/coadd,247.32230300,-24.96948100
DES1636-2041,DEC_Taiga/multiepoch/delve/r6117/DES1636-2041/p01/coadd,249.23137100,-20.68614800
DES1724-0707,DEC_Taiga/multiepoch/delve/r6117/DES1724-0707/p01/coadd,261.05074600,-7.12225900
DES1301+1043,DEC_Taiga/multiepoch/delve/r6117/DES1301+1043/p01/coadd,195.46031500,10.72496300
DES1426+1500,DEC_Taiga/multiepoch/delve/r6117/DES1426+1500/p01/coadd,216.55323500,15.00829600
DES1239-2915,DEC_Taiga/multiepoch/delve/r6117/DES1239-2915/p01/coadd,189.92758100,-29.25281500
DES1415-0333,DEC_Taiga/multiepoch/delve/r6117/DES1415-0333/p01/coadd,213.98019000,-3.55281500
DES0906-3040,DEC_Taiga/multiepoch/delve/r6117/DES0906-3040/p01/coadd,136.63107100,-30.68059300
DES1417-1124,DEC_Taiga/multiepoch/delve/r6117/DES1417-1124/p01/coadd,214.31932600,-11.40559300
DES1641+0709,DEC_Taiga/multiepoch/delve/r6117/DES1641+0709/p01/coadd,250.28357300,7.15551900
DES1725-0958,DEC_Taiga/multiepoch/delve/r6117/DES1725-0958/p01/coadd,261.47941700,-9.97781500
DES1516+1209,DEC_Taiga/multiepoch/delve/r6117/DES1516+1209/p02/coadd,229.00929100,12.15274100
DES1640-2206,DEC_Taiga/multiepoch/delve/r6117/DES1640-2206/p01/coadd,250.19987600,-22.11392600
DES1223+0500,DEC_Taiga/multiepoch/delve/r6117/DES1223+0500/p03/coadd,185.88657300,5.01385200
DES1649-1832,DEC_Taiga/multiepoch/delve/r6117/DES1649-1832/p01/coadd,252.33776900,-18.54448100
DES1206+1709,DEC_Taiga/multiepoch/delve/r6117/DES1206+1709/p01/coadd,181.71769100,17.14996300
DES1213+0418,DEC_Taiga/multiepoch/delve/r6117/DES1213+0418/p01/coadd,183.46406100,4.29996300
DES1446+1000,DEC_Taiga/multiepoch/delve/r6117/DES1446+1000/p01/coadd,221.64397900,10.01107400
DES1524-2249,DEC_Taiga/multiepoch/delve/r6117/DES1524-2249/p02/coadd,231.01882400,-22.82781500
DES1408-0207,DEC_Taiga/multiepoch/delve/r6117/DES1408-0207/p01/coadd,212.18218400,-2.12503700
DES1451+0126,DEC_Taiga/multiepoch/delve/r6117/DES1451+0126/p02/coadd,222.78395000,1.44440700
DES1010-2541,DEC_Taiga/multiepoch/delve/r6117/DES1010-2541/p01/coadd,152.64531700,-25.68337000
DES1426+1043,DEC_Taiga/multiepoch/delve/r6117/DES1426+1043/p01/coadd,216.53116500,10.72496300
DES1549-1332,DEC_Taiga/multiepoch/delve/r6117/DES1549-1332/p01/coadd,237.36639900,-13.54725900
DES1442+2500,DEC_Taiga/multiepoch/delve/r6117/DES1442+2500/p01/coadd,220.63037400,25.00274100
DES1614+0543,DEC_Taiga/multiepoch/delve/r6117/DES1614+0543/p01/coadd,243.60175700,5.72774100
DES1226-0250,DEC_Taiga/multiepoch/delve/r6117/DES1226-0250/p01/coadd,186.61114900,-2.83892600
DES1317+1917,DEC_Taiga/multiepoch/delve/r6117/DES1317+1917/p01/coadd,199.39110000,19.29163000
DES1318+1834,DEC_Taiga/multiepoch/delve/r6117/DES1318+1834/p01/coadd,199.68435600,18.57774100
DES1013-2623,DEC_Taiga/multiepoch/delve/r6117/DES1013-2623/p03/coadd,153.29951500,-26.39725900
DES1446+0917,DEC_Taiga/multiepoch/delve/r6117/DES1446+0917/p02/coadd,221.71811300,9.29718500
DES1445-0416,DEC_Taiga/multiepoch/delve/r6117/DES1445-0416/p01/coadd,221.39362500,-4.26670400
DES1403+0500,DEC_Taiga/multiepoch/delve/r6117/DES1403+0500/p01/coadd,210.96866000,5.01385200
DES1340+0500,DEC_Taiga/multiepoch/delve/r6117/DES1340+0500/p01/coadd,205.23561100,5.01385200
DES1205+1751,DEC_Taiga/multiepoch/delve/r6117/DES1205+1751/p01/coadd,181.26792000,17.86385200
DES1313-1958,DEC_Taiga/multiepoch/delve/r6117/DES1313-1958/p01/coadd,198.31992700,-19.97225900
DES1315+1709,DEC_Taiga/multiepoch/delve/r6117/DES1315+1709/p01/coadd,198.90118100,17.14996300
DES1611+0543,DEC_Taiga/multiepoch/delve/r6117/DES1611+0543/p01/coadd,242.88428600,5.72774100
DES1448-0541,DEC_Taiga/multiepoch/delve/r6117/DES1448-0541/p02/coadd,222.05976100,-5.69448100
DES1328-3040,DEC_Taiga/multiepoch/delve/r6117/DES1328-3040/p01/coadd,202.20729300,-30.68059300
DES1454+0709,DEC_Taiga/multiepoch/delve/r6117/DES1454+0709/p02/coadd,223.66234800,7.15551900
DES1737-1041,DEC_Taiga/multiepoch/delve/r6117/DES1737-1041/p01/coadd,264.44706600,-10.69170400
DES1448+0709,DEC_Taiga/multiepoch/delve/r6117/DES1448+0709/p02/coadd,222.22336300,7.15551900
DES1422+0543,DEC_Taiga/multiepoch/delve/r6117/DES1422+0543/p01/coadd,215.62038800,5.72774100
DES1220+0500,DEC_Taiga/multiepoch/delve/r6117/DES1220+0500/p01/coadd,185.16994200,5.01385200
DES1630-1958,DEC_Taiga/multiepoch/delve/r6117/DES1630-1958/p01/coadd,247.69202500,-19.97225900
DES1642-1124,DEC_Taiga/multiepoch/delve/r6117/DES1642-1124/p01/coadd,250.73286500,-11.40559300
DES1605-3623,DEC_Taiga/multiepoch/delve/r6117/DES1605-3623/p01/coadd,241.35732000,-36.39170400
DES1259-1415,DEC_Taiga/multiepoch/delve/r6117/DES1259-1415/p01/coadd,194.90355900,-14.26114800
DES1354-3706,DEC_Taiga/multiepoch/delve/r6117/DES1354-3706/p01/coadd,208.60266300,-37.10559300
DES1312+1834,DEC_Taiga/multiepoch/delve/r6117/DES1312+1834/p01/coadd,198.17809000,18.57774100
DES1210+0418,DEC_Taiga/multiepoch/delve/r6117/DES1210+0418/p01/coadd,182.74815700,4.29996300
DES1732-0707,DEC_Taiga/multiepoch/delve/r6117/DES1732-0707/p01/coadd,263.20906600,-7.12225900
DES1303+1500,DEC_Taiga/multiepoch/delve/r6117/DES1303+1500/p01/coadd,195.85840800,15.00829600
DES1607+0500,DEC_Taiga/multiepoch/delve/r6117/DES1607+0500/p01/coadd,241.78379500,5.01385200
DES1313-1250,DEC_Taiga/multiepoch/delve/r6117/DES1313-1250/p01/coadd,198.35311300,-12.83337000
DES1538+0335,DEC_Taiga/multiepoch/delve/r6117/DES1538+0335/p01/coadd,234.73443600,3.58607400
DES1251+0835,DEC_Taiga/multiepoch/delve/r6117/DES1251+0835/p01/coadd,192.96046100,8.58329600
DES1558-3415,DEC_Taiga/multiepoch/delve/r6117/DES1558-3415/p01/coadd,239.73456000,-34.25003700
DES1400-2706,DEC_Taiga/multiepoch/delve/r6117/DES1400-2706/p01/coadd,210.13979600,-27.11114800
DES1433+0752,DEC_Taiga/multiepoch/delve/r6117/DES1433+0752/p01/coadd,218.40453400,7.86940700
DES1506+0252,DEC_Taiga/multiepoch/delve/r6117/DES1506+0252/p02/coadd,226.64709400,2.87218500
DES1513-1624,DEC_Taiga/multiepoch/delve/r6117/DES1513-1624/p02/coadd,228.29841500,-16.40281500
DES1236-0124,DEC_Taiga/multiepoch/delve/r6117/DES1236-0124/p01/coadd,189.21653100,-1.41114800
DES1339-3206,DEC_Taiga/multiepoch/delve/r6117/DES1339-3206/p01/coadd,204.92311300,-32.10837000
DES1352-3249,DEC_Taiga/multiepoch/delve/r6117/DES1352-3249/p01/coadd,208.08004500,-32.82225900
DES1442-2832,DEC_Taiga/multiepoch/delve/r6117/DES1442-2832/p01/coadd,220.54853100,-28.53892600
DES1227+2334,DEC_Taiga/multiepoch/delve/r6117/DES1227+2334/p01/coadd,186.83536500,23.57496300
DES1410+0335,DEC_Taiga/multiepoch/delve/r6117/DES1410+0335/p01/coadd,212.56046200,3.58607400
DES1600-2041,DEC_Taiga/multiepoch/delve/r6117/DES1600-2041/p01/coadd,240.07434800,-20.68614800
DES1612-3623,DEC_Taiga/multiepoch/delve/r6117/DES1612-3623/p03/coadd,243.13100100,-36.39170400
DES1327-2958,DEC_Taiga/multiepoch/delve/r6117/DES1327-2958/p01/coadd,201.76987200,-29.96670400
DES1353-2623,DEC_Taiga/multiepoch/delve/r6117/DES1353-2623/p01/coadd,208.29170100,-26.39725900
DES1051-3914,DEC_Taiga/multiepoch/delve/r6117/DES1051-3914/p03/coadd,162.97309600,-39.24725900
DES1434+1000,DEC_Taiga/multiepoch/delve/r6117/DES1434+1000/p01/coadd,218.74427300,10.01107400
DES1521+0500,DEC_Taiga/multiepoch/delve/r6117/DES1521+0500/p02/coadd,230.31769800,5.01385200
DES0855-2458,DEC_Taiga/multiepoch/delve/r6117/DES0855-2458/p04/coadd,133.92323700,-24.96948100
DES1247+1334,DEC_Taiga/multiepoch/delve/r6117/DES1247+1334/p01/coadd,191.87743500,13.58051900
DES1319-0915,DEC_Taiga/multiepoch/delve/r6117/DES1319-0915/p01/coadd,199.98926800,-9.26392600
