TILENAME,PATH,RA_CENT,DEC_CENT
DES0756+1917,DEC_Taiga/multiepoch/delve/r6235/DES0756+1917/p02/coadd,119.217024,19.29163
DES0829-1250,DEC_Taiga/multiepoch/delve/r6235/DES0829-1250/p01/coadd,127.331799,-12.83337
DES0830+0418,DEC_Taiga/multiepoch/delve/r6235/DES0830+0418/p02/coadd,127.623544,4.299963
DES0831+0500,DEC_Taiga/multiepoch/delve/r6235/DES0831+0500/p02/coadd,127.839458,5.013852
DES0831-1332,DEC_Taiga/multiepoch/delve/r6235/DES0831-1332/p01/coadd,127.952759,-13.547259
DES0832+0335,DEC_Taiga/multiepoch/delve/r6235/DES0832+0335/p02/coadd,128.156303,3.586074
DES0832+0543,DEC_Taiga/multiepoch/delve/r6235/DES0832+0543/p03/coadd,128.088926,5.727741
DES0832-1250,DEC_Taiga/multiepoch/delve/r6235/DES0832-1250/p01/coadd,128.063977,-12.83337
DES0833+0418,DEC_Taiga/multiepoch/delve/r6235/DES0833+0418/p03/coadd,128.339448,4.299963
DES0834+0500,DEC_Taiga/multiepoch/delve/r6235/DES0834+0500/p03/coadd,128.556089,5.013852
DES0834-1332,DEC_Taiga/multiepoch/delve/r6235/DES0834-1332/p01/coadd,128.687079,-13.547259
DES0835+0335,DEC_Taiga/multiepoch/delve/r6235/DES0835+0335/p03/coadd,128.871592,3.586074
DES0835+0543,DEC_Taiga/multiepoch/delve/r6235/DES0835+0543/p05/coadd,128.806397,5.727741
DES0836+0418,DEC_Taiga/multiepoch/delve/r6235/DES0836+0418/p05/coadd,129.055352,4.299963
DES0837+0500,DEC_Taiga/multiepoch/delve/r6235/DES0837+0500/p05/coadd,129.27272,5.013852
DES0837-1332,DEC_Taiga/multiepoch/delve/r6235/DES0837-1332/p01/coadd,129.421399,-13.547259
DES0838+0335,DEC_Taiga/multiepoch/delve/r6235/DES0838+0335/p05/coadd,129.586882,3.586074
DES0838+0543,DEC_Taiga/multiepoch/delve/r6235/DES0838+0543/p04/coadd,129.523868,5.727741
DES0839+0418,DEC_Taiga/multiepoch/delve/r6235/DES0839+0418/p04/coadd,129.771256,4.299963
DES0839+0500,DEC_Taiga/multiepoch/delve/r6235/DES0839+0500/p04/coadd,129.989351,5.013852
DES0859-1832,DEC_Taiga/multiepoch/delve/r6235/DES0859-1832/p03/coadd,134.871952,-18.544481
DES0902-1832,DEC_Taiga/multiepoch/delve/r6235/DES0902-1832/p02/coadd,135.624938,-18.544481
DES0904-0958,DEC_Taiga/multiepoch/delve/r6235/DES0904-0958/p02/coadd,136.079976,-9.977815
DES0905-0915,DEC_Taiga/multiepoch/delve/r6235/DES0905-0915/p03/coadd,136.336851,-9.263926
DES0906-0833,DEC_Taiga/multiepoch/delve/r6235/DES0906-0833/p03/coadd,136.626977,-8.550037
DES0906-1041,DEC_Taiga/multiepoch/delve/r6235/DES0906-1041/p02/coadd,136.582873,-10.691704
DES0907-0958,DEC_Taiga/multiepoch/delve/r6235/DES0907-0958/p01/coadd,136.804828,-9.977815
DES0908-0915,DEC_Taiga/multiepoch/delve/r6235/DES0908-0915/p01/coadd,137.060174,-9.263926
DES0909-0833,DEC_Taiga/multiepoch/delve/r6235/DES0909-0833/p02/coadd,137.348889,-8.550037
DES0909-1041,DEC_Taiga/multiepoch/delve/r6235/DES0909-1041/p01/coadd,137.309374,-10.691704
DES0910+0418,DEC_Taiga/multiepoch/delve/r6235/DES0910+0418/p01/coadd,137.646201,4.299963
DES0910-0958,DEC_Taiga/multiepoch/delve/r6235/DES0910-0958/p01/coadd,137.52968,-9.977815
DES0911-0915,DEC_Taiga/multiepoch/delve/r6235/DES0911-0915/p02/coadd,137.783496,-9.263926
DES0912-0833,DEC_Taiga/multiepoch/delve/r6235/DES0912-0833/p02/coadd,138.070801,-8.550037
DES0912-1041,DEC_Taiga/multiepoch/delve/r6235/DES0912-1041/p02/coadd,138.035875,-10.691704
DES0913-0958,DEC_Taiga/multiepoch/delve/r6235/DES0913-0958/p02/coadd,138.254533,-9.977815
DES0914-0915,DEC_Taiga/multiepoch/delve/r6235/DES0914-0915/p02/coadd,138.506819,-9.263926
DES0918+0543,DEC_Taiga/multiepoch/delve/r6235/DES0918+0543/p03/coadd,139.568462,5.727741
DES0939-0958,DEC_Taiga/multiepoch/delve/r6235/DES0939-0958/p03/coadd,144.778203,-9.977815
DES1016-1749,DEC_Taiga/multiepoch/delve/r6235/DES1016-1749/p03/coadd,154.221292,-17.830593
DES1020+0500,DEC_Taiga/multiepoch/delve/r6235/DES1020+0500/p01/coadd,155.071438,5.013852
DES1025-0624,DEC_Taiga/multiepoch/delve/r6235/DES1025-0624/p01/coadd,156.374887,-6.40837
DES1031+1000,DEC_Taiga/multiepoch/delve/r6235/DES1031+1000/p01/coadd,157.850441,10.011074
DES1043+0209,DEC_Taiga/multiepoch/delve/r6235/DES1043+0209/p02/coadd,160.752159,2.158296
DES1043+0500,DEC_Taiga/multiepoch/delve/r6235/DES1043+0500/p01/coadd,160.804486,5.013852
DES1052-1749,DEC_Taiga/multiepoch/delve/r6235/DES1052-1749/p01/coadd,163.220211,-17.830593
DES1101+0917,DEC_Taiga/multiepoch/delve/r6235/DES1101+0917/p01/coadd,165.293561,9.297185
DES1105+0626,DEC_Taiga/multiepoch/delve/r6235/DES1105+0626/p01/coadd,166.448645,6.44163
DES1105+2000,DEC_Taiga/multiepoch/delve/r6235/DES1105+2000/p01/coadd,166.471167,20.005519
DES1108+0626,DEC_Taiga/multiepoch/delve/r6235/DES1108+0626/p01/coadd,167.16707,6.44163
DES1110+0001,DEC_Taiga/multiepoch/delve/r6235/DES1110+0001/p04/coadd,167.716714,0.01663
DES1110+0043,DEC_Taiga/multiepoch/delve/r6235/DES1110+0043/p03/coadd,167.737248,0.730519
DES1110-0041,DEC_Taiga/multiepoch/delve/r6235/DES1110-0041/p03/coadd,167.735416,-0.697259
DES1111-0124,DEC_Taiga/multiepoch/delve/r6235/DES1111-0124/p03/coadd,167.793368,-1.411148
DES1113+0001,DEC_Taiga/multiepoch/delve/r6235/DES1113+0001/p02/coadd,168.430603,0.01663
DES1113+0043,DEC_Taiga/multiepoch/delve/r6235/DES1113+0043/p02/coadd,168.451195,0.730519
DES1113-0041,DEC_Taiga/multiepoch/delve/r6235/DES1113-0041/p01/coadd,168.449358,-0.697259
DES1114-0124,DEC_Taiga/multiepoch/delve/r6235/DES1114-0124/p01/coadd,168.507473,-1.411148
DES1116+0001,DEC_Taiga/multiepoch/delve/r6235/DES1116+0001/p01/coadd,169.144492,0.01663
DES1116+0043,DEC_Taiga/multiepoch/delve/r6235/DES1116+0043/p01/coadd,169.165142,0.730519
DES1116-0041,DEC_Taiga/multiepoch/delve/r6235/DES1116-0041/p01/coadd,169.163299,-0.697259
DES1116-0124,DEC_Taiga/multiepoch/delve/r6235/DES1116-0124/p01/coadd,169.221578,-1.411148
DES1119+0001,DEC_Taiga/multiepoch/delve/r6235/DES1119+0001/p01/coadd,169.858381,0.01663
DES1119-0041,DEC_Taiga/multiepoch/delve/r6235/DES1119-0041/p01/coadd,169.877241,-0.697259
DES1133+0709,DEC_Taiga/multiepoch/delve/r6235/DES1133+0709/p01/coadd,173.297869,7.155519
