TILENAME,PATH
b'DES0947+1834',b'DEC/multiepoch/delve/r5918/DES0947+1834/p01/coadd'
b'DES1131-1124',b'DEC/multiepoch/delve/r5918/DES1131-1124/p01/coadd'
b'DES0920+2834',b'DEC/multiepoch/delve/r5918/DES0920+2834/p01/coadd'
b'DES1006+2834',b'DEC/multiepoch/delve/r5918/DES1006+2834/p01/coadd'
b'DES0925-0124',b'DEC/multiepoch/delve/r5918/DES0925-0124/p01/coadd'
b'DES0951-0750',b'DEC/multiepoch/delve/r5918/DES0951-0750/p01/coadd'
b'DES0859+0126',b'DEC/multiepoch/delve/r5918/DES0859+0126/p01/coadd'
b'DES0733+2251',b'DEC/multiepoch/delve/r5918/DES0733+2251/p01/coadd'
b'DES0754+0126',b'DEC/multiepoch/delve/r5918/DES0754+0126/p01/coadd'
b'DES1145-1415',b'DEC/multiepoch/delve/r5918/DES1145-1415/p01/coadd'
b'DES1148-1958',b'DEC/multiepoch/delve/r5918/DES1148-1958/p01/coadd'
b'DES1058+2834',b'DEC/multiepoch/delve/r5918/DES1058+2834/p01/coadd'
b'DES0932+2208',b'DEC/multiepoch/delve/r5918/DES0932+2208/p01/coadd'
b'DES0717+1500',b'DEC/multiepoch/delve/r5918/DES0717+1500/p01/coadd'
b'DES1146+2126',b'DEC/multiepoch/delve/r5918/DES1146+2126/p02/coadd'
b'DES0729+2208',b'DEC/multiepoch/delve/r5918/DES0729+2208/p01/coadd'
b'DES0935-0541',b'DEC/multiepoch/delve/r5918/DES0935-0541/p01/coadd'
b'DES0808+0209',b'DEC/multiepoch/delve/r5918/DES0808+0209/p02/coadd'
b'DES0739+2043',b'DEC/multiepoch/delve/r5918/DES0739+2043/p02/coadd'
b'DES1016+2917',b'DEC/multiepoch/delve/r5918/DES1016+2917/p01/coadd'
b'DES0942+1252',b'DEC/multiepoch/delve/r5918/DES0942+1252/p01/coadd'
b'DES0925+0752',b'DEC/multiepoch/delve/r5918/DES0925+0752/p01/coadd'
b'DES0947-1041',b'DEC/multiepoch/delve/r5918/DES0947-1041/p01/coadd'
b'DES0838-2124',b'DEC/multiepoch/delve/r5918/DES0838-2124/p01/coadd'
b'DES1126+0752',b'DEC/multiepoch/delve/r5918/DES1126+0752/p01/coadd'
b'DES0942+1000',b'DEC/multiepoch/delve/r5918/DES0942+1000/p01/coadd'
b'DES0749+1626',b'DEC/multiepoch/delve/r5918/DES0749+1626/p01/coadd'
b'DES0738+0626',b'DEC/multiepoch/delve/r5918/DES0738+0626/p02/coadd'
b'DES0916+2625',b'DEC/multiepoch/delve/r5918/DES0916+2625/p01/coadd'
b'DES0918+2251',b'DEC/multiepoch/delve/r5918/DES0918+2251/p01/coadd'
b'DES1157-0250',b'DEC/multiepoch/delve/r5918/DES1157-0250/p01/coadd'
b'DES1142-1124',b'DEC/multiepoch/delve/r5918/DES1142-1124/p01/coadd'
b'DES1140+1126',b'DEC/multiepoch/delve/r5918/DES1140+1126/p01/coadd'
b'DES0840-0541',b'DEC/multiepoch/delve/r5918/DES0840-0541/p01/coadd'
b'DES0951-1541',b'DEC/multiepoch/delve/r5918/DES0951-1541/p01/coadd'
b'DES0833-1124',b'DEC/multiepoch/delve/r5918/DES0833-1124/p01/coadd'
b'DES1143+1500',b'DEC/multiepoch/delve/r5918/DES1143+1500/p02/coadd'
b'DES0933+0001',b'DEC/multiepoch/delve/r5918/DES0933+0001/p02/coadd'
b'DES0929+0252',b'DEC/multiepoch/delve/r5918/DES0929+0252/p01/coadd'
b'DES1124+1626',b'DEC/multiepoch/delve/r5918/DES1124+1626/p01/coadd'
b'DES0832+0335',b'DEC/multiepoch/delve/r5918/DES0832+0335/p01/coadd'
b'DES1130-0915',b'DEC/multiepoch/delve/r5918/DES1130-0915/p01/coadd'
b'DES0808-1041',b'DEC/multiepoch/delve/r5918/DES0808-1041/p02/coadd'
b'DES1014-1958',b'DEC/multiepoch/delve/r5918/DES1014-1958/p01/coadd'
b'DES0856+0043',b'DEC/multiepoch/delve/r5918/DES0856+0043/p02/coadd'
b'DES1021+1626',b'DEC/multiepoch/delve/r5918/DES1021+1626/p03/coadd'
b'DES1144+1543',b'DEC/multiepoch/delve/r5918/DES1144+1543/p01/coadd'
b'DES1027-2206',b'DEC/multiepoch/delve/r5918/DES1027-2206/p01/coadd'
b'DES1148+1334',b'DEC/multiepoch/delve/r5918/DES1148+1334/p02/coadd'
b'DES0943+0709',b'DEC/multiepoch/delve/r5918/DES0943+0709/p01/coadd'
b'DES0819+1417',b'DEC/multiepoch/delve/r5918/DES0819+1417/p02/coadd'
b'DES1009+2208',b'DEC/multiepoch/delve/r5918/DES1009+2208/p01/coadd'
b'DES1035-2249',b'DEC/multiepoch/delve/r5918/DES1035-2249/p01/coadd'
b'DES0948+1917',b'DEC/multiepoch/delve/r5918/DES0948+1917/p01/coadd'
b'DES1133+0001',b'DEC/multiepoch/delve/r5918/DES1133+0001/p01/coadd'
b'DES0852+2500',b'DEC/multiepoch/delve/r5918/DES0852+2500/p02/coadd'
b'DES0914+2208',b'DEC/multiepoch/delve/r5918/DES0914+2208/p01/coadd'
b'DES0932+1834',b'DEC/multiepoch/delve/r5918/DES0932+1834/p01/coadd'
b'DES0847-1207',b'DEC/multiepoch/delve/r5918/DES0847-1207/p01/coadd'
b'DES1151-1958',b'DEC/multiepoch/delve/r5918/DES1151-1958/p01/coadd'
b'DES0836-0915',b'DEC/multiepoch/delve/r5918/DES0836-0915/p01/coadd'
b'DES0834+0252',b'DEC/multiepoch/delve/r5918/DES0834+0252/p01/coadd'
b'DES0848+0209',b'DEC/multiepoch/delve/r5918/DES0848+0209/p01/coadd'
b'DES0945+1000',b'DEC/multiepoch/delve/r5918/DES0945+1000/p01/coadd'
b'DES0905+0626',b'DEC/multiepoch/delve/r5918/DES0905+0626/p01/coadd'
b'DES0949-2249',b'DEC/multiepoch/delve/r5918/DES0949-2249/p01/coadd'
b'DES0913+0752',b'DEC/multiepoch/delve/r5918/DES0913+0752/p01/coadd'
b'DES0816-1124',b'DEC/multiepoch/delve/r5918/DES0816-1124/p02/coadd'
b'DES1143-1041',b'DEC/multiepoch/delve/r5918/DES1143-1041/p01/coadd'
b'DES1130+0543',b'DEC/multiepoch/delve/r5918/DES1130+0543/p01/coadd'
b'DES0925-1124',b'DEC/multiepoch/delve/r5918/DES0925-1124/p01/coadd'
b'DES0940-1749',b'DEC/multiepoch/delve/r5918/DES0940-1749/p01/coadd'
b'DES0814+2500',b'DEC/multiepoch/delve/r5918/DES0814+2500/p01/coadd'
b'DES1101-2041',b'DEC/multiepoch/delve/r5918/DES1101-2041/p01/coadd'
b'DES1002+0001',b'DEC/multiepoch/delve/r5918/DES1002+0001/p01/coadd'
b'DES1029+1252',b'DEC/multiepoch/delve/r5918/DES1029+1252/p01/coadd'
b'DES0830-0416',b'DEC/multiepoch/delve/r5918/DES0830-0416/p01/coadd'
b'DES0845-0041',b'DEC/multiepoch/delve/r5918/DES0845-0041/p01/coadd'
b'DES1125-1458',b'DEC/multiepoch/delve/r5918/DES1125-1458/p01/coadd'
b'DES1148+0835',b'DEC/multiepoch/delve/r5918/DES1148+0835/p02/coadd'
b'DES0651+2834',b'DEC/multiepoch/delve/r5918/DES0651+2834/p01/coadd'
b'DES1047-0416',b'DEC/multiepoch/delve/r5918/DES1047-0416/p01/coadd'
b'DES0913-2206',b'DEC/multiepoch/delve/r5918/DES0913-2206/p01/coadd'
b'DES1130+1834',b'DEC/multiepoch/delve/r5918/DES1130+1834/p01/coadd'
b'DES0936+0126',b'DEC/multiepoch/delve/r5918/DES0936+0126/p01/coadd'
b'DES0910+1626',b'DEC/multiepoch/delve/r5918/DES0910+1626/p01/coadd'
b'DES0858+2334',b'DEC/multiepoch/delve/r5918/DES0858+2334/p01/coadd'
b'DES1111+1000',b'DEC/multiepoch/delve/r5918/DES1111+1000/p01/coadd'
b'DES0904-1707',b'DEC/multiepoch/delve/r5918/DES0904-1707/p01/coadd'
b'DES0820+0252',b'DEC/multiepoch/delve/r5918/DES0820+0252/p02/coadd'
b'DES0856-0416',b'DEC/multiepoch/delve/r5918/DES0856-0416/p02/coadd'
b'DES0910-0750',b'DEC/multiepoch/delve/r5918/DES0910-0750/p01/coadd'
b'DES0934+2751',b'DEC/multiepoch/delve/r5918/DES0934+2751/p01/coadd'
b'DES1116+2043',b'DEC/multiepoch/delve/r5918/DES1116+2043/p01/coadd'
b'DES0840-0250',b'DEC/multiepoch/delve/r5918/DES0840-0250/p01/coadd'
b'DES0945+2543',b'DEC/multiepoch/delve/r5918/DES0945+2543/p01/coadd'
b'DES1117+2625',b'DEC/multiepoch/delve/r5918/DES1117+2625/p01/coadd'
b'DES0808+1834',b'DEC/multiepoch/delve/r5918/DES0808+1834/p01/coadd'
b'DES0854-1915',b'DEC/multiepoch/delve/r5918/DES0854-1915/p02/coadd'
b'DES1119-1332',b'DEC/multiepoch/delve/r5918/DES1119-1332/p01/coadd'
b'DES0915+0543',b'DEC/multiepoch/delve/r5918/DES0915+0543/p01/coadd'
b'DES0729+1543',b'DEC/multiepoch/delve/r5918/DES0729+1543/p01/coadd'
b'DES1142+1834',b'DEC/multiepoch/delve/r5918/DES1142+1834/p01/coadd'
b'DES0919-0124',b'DEC/multiepoch/delve/r5918/DES0919-0124/p01/coadd'
b'DES1043+2043',b'DEC/multiepoch/delve/r5918/DES1043+2043/p01/coadd'
b'DES0832-2124',b'DEC/multiepoch/delve/r5918/DES0832-2124/p01/coadd'
b'DES0742+1252',b'DEC/multiepoch/delve/r5918/DES0742+1252/p02/coadd'
b'DES1144+0335',b'DEC/multiepoch/delve/r5918/DES1144+0335/p01/coadd'
b'DES1148-0207',b'DEC/multiepoch/delve/r5918/DES1148-0207/p01/coadd'
b'DES1145+1709',b'DEC/multiepoch/delve/r5918/DES1145+1709/p01/coadd'
b'DES1028+2834',b'DEC/multiepoch/delve/r5918/DES1028+2834/p01/coadd'
b'DES1113+0418',b'DEC/multiepoch/delve/r5918/DES1113+0418/p01/coadd'
b'DES0949-0833',b'DEC/multiepoch/delve/r5918/DES0949-0833/p01/coadd'
b'DES0906+2251',b'DEC/multiepoch/delve/r5918/DES0906+2251/p01/coadd'
b'DES0957+2208',b'DEC/multiepoch/delve/r5918/DES0957+2208/p01/coadd'
b'DES0933-0041',b'DEC/multiepoch/delve/r5918/DES0933-0041/p01/coadd'
b'DES1115-1624',b'DEC/multiepoch/delve/r5918/DES1115-1624/p01/coadd'
b'DES1106-0250',b'DEC/multiepoch/delve/r5918/DES1106-0250/p01/coadd'
b'DES0852+1543',b'DEC/multiepoch/delve/r5918/DES0852+1543/p02/coadd'
b'DES1009+2751',b'DEC/multiepoch/delve/r5918/DES1009+2751/p01/coadd'
b'DES1007+2625',b'DEC/multiepoch/delve/r5918/DES1007+2625/p01/coadd'
b'DES1003-1541',b'DEC/multiepoch/delve/r5918/DES1003-1541/p01/coadd'
b'DES0844-2249',b'DEC/multiepoch/delve/r5918/DES0844-2249/p01/coadd'
b'DES0918-2415',b'DEC/multiepoch/delve/r5918/DES0918-2415/p01/coadd'
b'DES0712+2043',b'DEC/multiepoch/delve/r5918/DES0712+2043/p01/coadd'
b'DES0902-0124',b'DEC/multiepoch/delve/r5918/DES0902-0124/p01/coadd'
b'DES0939+1417',b'DEC/multiepoch/delve/r5918/DES0939+1417/p02/coadd'
b'DES1029-1958',b'DEC/multiepoch/delve/r5918/DES1029-1958/p01/coadd'
b'DES0816+1626',b'DEC/multiepoch/delve/r5918/DES0816+1626/p02/coadd'
b'DES0839-1958',b'DEC/multiepoch/delve/r5918/DES0839-1958/p01/coadd'
b'DES0913-0416',b'DEC/multiepoch/delve/r5918/DES0913-0416/p01/coadd'
b'DES0930+1917',b'DEC/multiepoch/delve/r5918/DES0930+1917/p01/coadd'
b'DES1008-0750',b'DEC/multiepoch/delve/r5918/DES1008-0750/p01/coadd'
b'DES0949-0541',b'DEC/multiepoch/delve/r5918/DES0949-0541/p01/coadd'
b'DES1145-0124',b'DEC/multiepoch/delve/r5918/DES1145-0124/p01/coadd'
b'DES1142-2124',b'DEC/multiepoch/delve/r5918/DES1142-2124/p02/coadd'
b'DES0845+2751',b'DEC/multiepoch/delve/r5918/DES0845+2751/p01/coadd'
b'DES0654+2708',b'DEC/multiepoch/delve/r5918/DES0654+2708/p01/coadd'
b'DES0826-1250',b'DEC/multiepoch/delve/r5918/DES0826-1250/p01/coadd'
b'DES0748+0001',b'DEC/multiepoch/delve/r5918/DES0748+0001/p01/coadd'
b'DES1147+2917',b'DEC/multiepoch/delve/r5918/DES1147+2917/p01/coadd'
b'DES0748+0043',b'DEC/multiepoch/delve/r5918/DES0748+0043/p01/coadd'
b'DES0943-1749',b'DEC/multiepoch/delve/r5918/DES0943-1749/p01/coadd'
b'DES1111+0209',b'DEC/multiepoch/delve/r5918/DES1111+0209/p01/coadd'
b'DES0834-0250',b'DEC/multiepoch/delve/r5918/DES0834-0250/p02/coadd'
b'DES0942+1626',b'DEC/multiepoch/delve/r5918/DES0942+1626/p02/coadd'
b'DES1026+2625',b'DEC/multiepoch/delve/r5918/DES1026+2625/p01/coadd'
b'DES0912+0335',b'DEC/multiepoch/delve/r5918/DES0912+0335/p01/coadd'
b'DES0938-2041',b'DEC/multiepoch/delve/r5918/DES0938-2041/p01/coadd'
b'DES0920+1126',b'DEC/multiepoch/delve/r5918/DES0920+1126/p01/coadd'
b'DES0817+0500',b'DEC/multiepoch/delve/r5918/DES0817+0500/p02/coadd'
b'DES1117+1000',b'DEC/multiepoch/delve/r5918/DES1117+1000/p01/coadd'
b'DES1132+0335',b'DEC/multiepoch/delve/r5918/DES1132+0335/p01/coadd'
b'DES0705+2251',b'DEC/multiepoch/delve/r5918/DES0705+2251/p01/coadd'
b'DES0923+0835',b'DEC/multiepoch/delve/r5918/DES0923+0835/p01/coadd'
b'DES0819+0626',b'DEC/multiepoch/delve/r5918/DES0819+0626/p02/coadd'
b'DES0739+0043',b'DEC/multiepoch/delve/r5918/DES0739+0043/p02/coadd'
b'DES0937-1958',b'DEC/multiepoch/delve/r5918/DES0937-1958/p01/coadd'
b'DES1115+2126',b'DEC/multiepoch/delve/r5918/DES1115+2126/p01/coadd'
b'DES0745-0124',b'DEC/multiepoch/delve/r5918/DES0745-0124/p01/coadd'
b'DES0920-0458',b'DEC/multiepoch/delve/r5918/DES0920-0458/p01/coadd'
b'DES1110-0833',b'DEC/multiepoch/delve/r5918/DES1110-0833/p01/coadd'
b'DES1002+0626',b'DEC/multiepoch/delve/r5918/DES1002+0626/p01/coadd'
