TILENAME,PATH,RA_CENT,DEC_CENT,SHEARCAT_PATH,TAG 
DES0931+2000,DEC_Taiga/multiepoch/delve/r5918/DES0931+2000/p01/coadd,142.91949,20.005519,2,DR3_1_1_original
DES1024-1624,DEC_Taiga/multiepoch/delve/r5918/DES1024-1624/p01/coadd,156.113278,-16.402815,2,DR3_1_1_original
DES0755+0752,DEC_Taiga/multiepoch/delve/r5918/DES0755+0752/p02/coadd,118.951279,7.869407,2,DR3_1_1_original
DES0902+0126,DEC_Taiga/multiepoch/delve/r5918/DES0902+0126/p01/coadd,135.661822,1.444407,2,DR3_1_1_original
DES1137-0750,DEC_Taiga/multiepoch/delve/r5918/DES1137-0750/p01/coadd,174.422496,-7.836148,2,DR3_1_1_original
DES0826+1751,DEC_Taiga/multiepoch/delve/r5918/DES0826+1751/p01/coadd,126.514243,17.863852,2,DR3_1_1_original
DES1027-1915,DEC_Taiga/multiepoch/delve/r6101/DES1027-1915/p01/coadd,156.985747,-19.25837,2,DR3_1_1_original
DES0953+1834,DEC_Taiga/multiepoch/delve/r6101/DES0953+1834/p01/coadd,148.471304,18.577741,2,DR3_1_1_original
DES1137+1126,DEC_Taiga/multiepoch/delve/r5918/DES1137+1126/p01/coadd,174.29491,11.438852,2,DR3_1_1_original
DES1140-0458,DEC_Taiga/multiepoch/delve/r5918/DES1140-0458/p01/coadd,175.123874,-4.980593,2,DR3_1_1_original
DES0945-1332,DEC_Taiga/multiepoch/delve/r5918/DES0945-1332/p01/coadd,146.310752,-13.547259,2,DR3_1_1_original
DES1107-1124,DEC_Taiga/multiepoch/delve/r5918/DES1107-1124/p01/coadd,166.981726,-11.405593,2,DR3_1_1_original
DES1041+0335,DEC_Taiga/multiepoch/delve/r6101/DES1041+0335/p01/coadd,160.34433,3.586074,2,DR3_1_1_original
DES1138+2251,DEC_Taiga/multiepoch/delve/r5918/DES1138+2251/p01/coadd,174.53985,22.861074,2,DR3_1_1_original
DES1003+1252,DEC_Taiga/multiepoch/delve/r5918/DES1003+1252/p01/coadd,150.792801,12.86663,2,DR3_1_1_original
DES1105+0418,DEC_Taiga/multiepoch/delve/r5918/DES1105+0418/p01/coadd,166.282363,4.299963,2,DR3_1_1_original
DES0718+1334,DEC_Taiga/multiepoch/delve/r5918/DES0718+1334/p01/coadd,109.622081,13.580519,2,DR3_1_1_original
DES0929+0709,DEC_Taiga/multiepoch/delve/r5918/DES0929+0709/p02/coadd,142.359688,7.155519,2,DR3_1_1_original
DES1050+1543,DEC_Taiga/multiepoch/delve/r5918/DES1050+1543/p01/coadd,162.706435,15.722185,2,DR3_1_1_original
DES1036-1041,DEC_Taiga/multiepoch/delve/r5918/DES1036-1041/p01/coadd,159.104407,-10.691704,2,DR3_1_1_original
DES1114+2708,DEC_Taiga/multiepoch/delve/r5918/DES1114+2708/p01/coadd,168.510817,27.144407,2,DR3_1_1_original
DES0827+1209,DEC_Taiga/multiepoch/delve/r5918/DES0827+1209/p01/coadd,126.77372,12.152741,2,DR3_1_1_original
DES1035-0707,DEC_Taiga/multiepoch/delve/r5918/DES1035-0707/p01/coadd,158.890246,-7.122259,2,DR3_1_1_original
DES1001-0833,DEC_Taiga/multiepoch/delve/r5918/DES1001-0833/p01/coadd,150.343302,-8.550037,2,DR3_1_1_original
