TILENAME,PATH
DES0911+0209, DEC_Taiga/multiepoch/delve/r6101/DES0911+0209/p01/coadd
DES1105-2124, DEC_Taiga/multiepoch/delve/r6101/DES1105-2124/p01/coadd
DES1144+1543, DEC_Taiga/multiepoch/delve/r6101/DES1144+1543/p01/coadd
DES1108+0752, DEC_Taiga/multiepoch/delve/r6101/DES1108+0752/p01/coadd
DES0824+0335, DEC_Taiga/multiepoch/delve/r6101/DES0824+0335/p01/coadd
DES0804+2043, DEC_Taiga/multiepoch/delve/r6101/DES0804+2043/p01/coadd
DES1122+1709, DEC_Taiga/multiepoch/delve/r6101/DES1122+1709/p01/coadd
DES0918+1000, DEC_Taiga/multiepoch/delve/r6101/DES0918+1000/p01/coadd
DES0804+2251, DEC_Taiga/multiepoch/delve/r6101/DES0804+2251/p01/coadd
DES1114+0752, DEC_Taiga/multiepoch/delve/r6101/DES1114+0752/p01/coadd
DES0933-2124, DEC_Taiga/multiepoch/delve/r6101/DES0933-2124/p01/coadd
DES0957+2043, DEC_Taiga/multiepoch/delve/r6101/DES0957+2043/p01/coadd
DES1152+2708, DEC_Taiga/multiepoch/delve/r6101/DES1152+2708/p02/coadd
DES1153+0543, DEC_Taiga/multiepoch/delve/r6101/DES1153+0543/p02/coadd
DES0802+0500, DEC_Taiga/multiepoch/delve/r6101/DES0802+0500/p01/coadd
DES0927-2249, DEC_Taiga/multiepoch/delve/r6101/DES0927-2249/p01/coadd
DES0815+2834, DEC_Taiga/multiepoch/delve/r6101/DES0815+2834/p01/coadd
DES0904-1250, DEC_Taiga/multiepoch/delve/r6101/DES0904-1250/p01/coadd
DES0847+0418, DEC_Taiga/multiepoch/delve/r6101/DES0847+0418/p01/coadd
DES0735+1500, DEC_Taiga/multiepoch/delve/r6101/DES0735+1500/p01/coadd
DES0819-0915, DEC_Taiga/multiepoch/delve/r6101/DES0819-0915/p01/coadd
DES0855+1626, DEC_Taiga/multiepoch/delve/r6101/DES0855+1626/p01/coadd
DES1031+1000, DEC_Taiga/multiepoch/delve/r6101/DES1031+1000/p01/coadd
DES1046-1749, DEC_Taiga/multiepoch/delve/r6101/DES1046-1749/p01/coadd
DES0813+1709, DEC_Taiga/multiepoch/delve/r6101/DES0813+1709/p01/coadd
DES0845+0500, DEC_Taiga/multiepoch/delve/r6101/DES0845+0500/p01/coadd
DES1130+2751, DEC_Taiga/multiepoch/delve/r6101/DES1130+2751/p01/coadd
DES0921+2500, DEC_Taiga/multiepoch/delve/r6101/DES0921+2500/p01/coadd
DES1132-0333, DEC_Taiga/multiepoch/delve/r6101/DES1132-0333/p02/coadd
DES1029-0707, DEC_Taiga/multiepoch/delve/r6101/DES1029-0707/p01/coadd
DES1017-1832, DEC_Taiga/multiepoch/delve/r6101/DES1017-1832/p01/coadd
DES0808+1917, DEC_Taiga/multiepoch/delve/r6101/DES0808+1917/p01/coadd
DES0952-1958, DEC_Taiga/multiepoch/delve/r6101/DES0952-1958/p01/coadd
DES0801+2251, DEC_Taiga/multiepoch/delve/r6101/DES0801+2251/p01/coadd
DES0756+1917, DEC_Taiga/multiepoch/delve/r6101/DES0756+1917/p01/coadd
DES0848+0209, DEC_Taiga/multiepoch/delve/r6101/DES0848+0209/p01/coadd
DES1114+0252, DEC_Taiga/multiepoch/delve/r6101/DES1114+0252/p01/coadd
DES1125+1709, DEC_Taiga/multiepoch/delve/r6101/DES1125+1709/p01/coadd
DES1017-0458, DEC_Taiga/multiepoch/delve/r6101/DES1017-0458/p01/coadd
DES0952-1707, DEC_Taiga/multiepoch/delve/r6101/DES0952-1707/p01/coadd
DES0902+0001, DEC_Taiga/multiepoch/delve/r6101/DES0902+0001/p01/coadd
DES0934-0915, DEC_Taiga/multiepoch/delve/r6101/DES0934-0915/p01/coadd
DES1032+2708, DEC_Taiga/multiepoch/delve/r6101/DES1032+2708/p01/coadd
DES1021-1624, DEC_Taiga/multiepoch/delve/r6101/DES1021-1624/p01/coadd
DES0927-1250, DEC_Taiga/multiepoch/delve/r6101/DES0927-1250/p01/coadd
DES0826+2751, DEC_Taiga/multiepoch/delve/r6101/DES0826+2751/p01/coadd
DES1114+0209, DEC_Taiga/multiepoch/delve/r6101/DES1114+0209/p01/coadd
DES0949-1041, DEC_Taiga/multiepoch/delve/r6101/DES0949-1041/p01/coadd
